word,side,affix,root,root_free,method,zipf,freq,comp
adversely,suffix,ly,adverse,True,family,3.27,1.86e-06,0.04401765018701553
duffer,suffix,er,duff,True,freeroot,2.12,1.32e-07,0.044163115322589874
comforter,suffix,er,comfort,True,family,2.81,6.46e-07,0.04426530376076698
mohammedan,suffix,ian,mohammed,True,freeroot,2.25,1.78e-07,0.04428153857588768
severally,suffix,ly,several,True,freeroot,2.24,1.74e-07,0.04435601830482483
automation,suffix,ion,automate,True,family,3.8,6.31e-06,0.044365815818309784
buzzer,suffix,er,buzz,True,freeroot,3.4,2.51e-06,0.04449836537241936
grizzly,suffix,y,grizzle,True,freeroot,3.28,1.91e-06,0.04450104013085365
strainer,suffix,er,strain,True,family,2.64,4.37e-07,0.0445312038064003
horny,suffix,y,horn,True,family,3.79,6.17e-06,0.04466879367828369
enteritis,suffix,itis,enter,True,family,1.81,6.46e-08,0.044714558869600296
lively,suffix,ly,live,True,family,3.86,7.24e-06,0.044766783714294434
beggary,suffix,ory,beg,True,family,1.5,3.16e-08,0.044787440448999405
foxy,suffix,y,fox,True,family,3.0,1e-06,0.04481644183397293
meeker,suffix,er,meek,True,family,2.61,4.07e-07,0.04484681785106659
recap,prefix,re,cap,True,freeroot,3.45,2.82e-06,0.045014165341854095
bleacher,suffix,er,bleach,True,freeroot,2.59,3.89e-07,0.045172981917858124
figurine,suffix,ine,figure,True,family,2.85,7.08e-07,0.045399732887744904
jumpy,suffix,y,jump,True,family,2.67,4.68e-07,0.04567433521151543
amazement,suffix,ment,amaze,True,family,3.0,1e-06,0.045929450541734695
disbar,prefix,dis,bar,True,family,1.68,4.79e-08,0.045987147837877274
meanie,suffix,y,mean,True,family,2.47,2.95e-07,0.04608582705259323
armory,suffix,y,armor,True,family,3.22,1.66e-06,0.04608962684869766
adjunct,prefix,a,junct,False,family,3.3,2e-06,0.04624561220407486
infirm,prefix,im,firm,True,family,2.61,4.07e-07,0.046377070248126984
sufferance,suffix,ance,suffer,True,family,1.84,6.92e-08,0.04654894769191742
damnation,suffix,ion,damn,True,family,2.95,8.91e-07,0.046594034880399704
unleash,prefix,un,leash,True,freeroot,3.41,2.57e-06,0.04672177508473396
exhume,prefix,ex,hume,True,freeroot,2.21,1.62e-07,0.0467509850859642
sapper,suffix,er,sap,True,family,2.44,2.75e-07,0.046867113560438156
temperate,suffix,ate,temper,True,family,3.33,2.14e-06,0.0469851978123188
correspondent,suffix,ant,correspond,True,family,3.86,7.24e-06,0.04702087864279747
artificial,suffix,al,artifice,True,family,4.24,1.74e-05,0.04723629727959633
draughty,suffix,y,draught,True,freeroot,1.93,8.51e-08,0.04726431146264076
leeward,suffix,ward,lee,True,freeroot,2.66,4.57e-07,0.0475149042904377
discernment,suffix,ment,discern,True,family,2.79,6.17e-07,0.047635242342948914
neighbourhood,suffix,hood,neighbour,True,family,3.94,8.71e-06,0.04783086106181145
keeper,suffix,er,keep,True,family,4.02,1.05e-05,0.04787981137633324
piper,suffix,er,pipe,True,freeroot,3.68,4.79e-06,0.0479268804192543
detachment,suffix,ment,detach,True,family,3.46,2.88e-06,0.0479854941368103
subway,prefix,sub,way,True,family,4.05,1.12e-05,0.048080265522003174
monarch,prefix,mono,arch,True,family,3.69,4.9e-06,0.04819445684552193
currently,suffix,ly,current,True,family,5.08,0.00012,0.048722043633461
countrified,suffix,ify,country,True,family,1.6,3.98e-08,0.0487498976290226
surgery,suffix,ory,surg,True,freeroot,4.63,4.27e-05,0.048767443746328354
tribunal,suffix,al,tribune,True,freeroot,3.88,7.59e-06,0.048812661319971085
repeatedly,suffix,ly,repeat,True,family,4.21,1.62e-05,0.04890062287449837
miserly,suffix,ly,miser,True,family,2.33,2.14e-07,0.048969537019729614
roman,suffix,ian,rome,True,family,4.5,3.16e-05,0.0490155890583992
skinner,suffix,er,skin,True,family,3.5,3.16e-06,0.049042683094739914
wavers,suffix,er,wave,True,family,2.26,1.82e-07,0.049065571278333664
vibrant,suffix,ant,vibr,False,family,3.67,4.68e-06,0.04919448494911194
appallingly,suffix,ly,appall,True,freeroot,2.31,2.04e-07,0.0492144338786602
sander,suffix,er,sand,True,family,2.94,8.71e-07,0.04949912428855896
virus,suffix,us,vir,True,freeroot,4.42,2.63e-05,0.04950661584734917
gradation,suffix,ion,grade,True,family,2.4,2.51e-07,0.049590736627578735
oversaw,prefix,over,saw,True,family,3.25,1.78e-06,0.049888726323843
rubber,suffix,er,rub,True,freeroot,4.23,1.7e-05,0.049945347011089325
expectancies,suffix,ance,expect,True,family,2.26,1.82e-07,0.04996271803975105
crossways,prefix,cross,way,True,family,1.9,7.94e-08,0.04999275878071785
minter,suffix,er,mint,True,freeroot,2.36,2.29e-07,0.05004645138978958
detective,suffix,ive,detect,True,family,4.21,1.62e-05,0.050368983298540115
unhurt,prefix,un,hurt,True,family,2.52,3.31e-07,0.050777167081832886
postulant,suffix,ant,postul,False,family,1.56,3.63e-08,0.05089903250336647
huffy,suffix,y,huff,True,freeroot,2.21,1.62e-07,0.0510626845061779
