word,root,affix,side,zipf,comp
unionism,union,ism,suffix,2.72,0.31595754623413086
dishonored,honored,dis,prefix,2.73,0.31599608063697815
mismatched,matched,mis,prefix,2.78,0.3161218464374542
warrantless,warrant,less,suffix,2.53,0.3162654638290405
outsourced,sourced,out,prefix,3.0,0.3164363205432892
nationalist,national,ist,suffix,3.91,0.3166106045246124
boneless,bone,less,suffix,2.75,0.31673306226730347
outpouring,pouring,out,prefix,2.82,0.3167858421802521
thoughtless,thought,less,suffix,2.9,0.3167975842952728
replication,replica,tion,suffix,3.42,0.31690534949302673
return,turn,re,prefix,5.19,0.31705936789512634
undercarriage,carriage,under,prefix,2.54,0.3171218931674957
reusable,usable,re,prefix,3.21,0.31712621450424194
rebirth,birth,re,prefix,3.4,0.31713932752609253
restructure,structure,re,prefix,3.01,0.31730523705482483
overblown,blown,over,prefix,2.83,0.3173697590827942
remaking,making,re,prefix,2.78,0.31772324442863464
undersized,sized,under,prefix,2.59,0.31784525513648987
supercharger,charger,super,prefix,2.69,0.3180350065231323
disarming,arming,dis,prefix,2.84,0.31844523549079895
statehood,state,hood,suffix,3.08,0.3186279535293579
unwritten,written,un,prefix,3.05,0.31891849637031555
unscientific,scientific,un,prefix,2.75,0.31925681233406067
outplayed,played,out,prefix,2.8,0.3192703127861023
disintegrating,integrating,dis,prefix,2.72,0.31982386112213135
unsavory,savory,un,prefix,2.72,0.3198296129703522
remodelling,modelling,re,prefix,2.57,0.3198310434818268
leninist,lenin,ist,suffix,2.7,0.3201240301132202
unassisted,assisted,un,prefix,2.57,0.3202347159385681
relocation,location,re,prefix,3.57,0.3203255236148834
unsound,sound,un,prefix,2.72,0.32037243247032166
reenactment,enactment,re,prefix,2.67,0.3204203248023987
recreations,creations,re,prefix,2.57,0.32044699788093567
guardianship,guardian,ship,suffix,2.93,0.3205975592136383
disable,able,dis,prefix,3.52,0.32100772857666016
misjudged,judged,mis,prefix,2.77,0.3210351765155792
undeveloped,developed,un,prefix,3.11,0.3211027979850769
relapse,lapse,re,prefix,3.32,0.3211789131164551
appeasement,appease,ment,suffix,2.79,0.32120731472969055
transport,port,trans,prefix,4.68,0.32127490639686584
disappearing,appearing,dis,prefix,3.6,0.3215618431568146
magnetism,magnet,ism,suffix,3.03,0.3216366171836853
fatherless,father,less,suffix,2.61,0.3219577670097351
outlived,lived,out,prefix,2.75,0.32211315631866455
undemocratic,democratic,un,prefix,2.85,0.3221227824687958
replay,play,re,prefix,3.82,0.32256078720092773
royalist,royal,ist,suffix,2.8,0.3230725824832916
interacted,acted,inter,prefix,3.11,0.3232479691505432
outspoken,spoken,out,prefix,3.35,0.3235447406768799
overshoot,shoot,over,prefix,2.52,0.32367759943008423
hairless,hair,less,suffix,2.9,0.32378873229026794
ceaseless,cease,less,suffix,2.57,0.3238171339035034
unlocks,locks,un,prefix,2.97,0.32384809851646423
purposeful,purpose,ful,suffix,3.07,0.3243853747844696
unionist,union,ist,suffix,3.29,0.32500529289245605
forehand,hand,fore,prefix,2.7,0.3251013457775116
internationalist,nationalist,inter,prefix,2.51,0.32558196783065796
survivalist,survival,ist,suffix,2.52,0.32586991786956787
outlaws,laws,out,prefix,3.16,0.3259028494358063
unintended,intended,un,prefix,3.28,0.32597023248672485
reentry,entry,re,prefix,2.83,0.3260980248451233
revisit,visit,re,prefix,3.36,0.3262980282306671
meaningful,meaning,ful,suffix,4.14,0.32633963227272034
overworked,worked,over,prefix,3.0,0.32660964131355286
recoil,coil,re,prefix,3.19,0.32687556743621826
heaviness,heavy,ness,suffix,2.59,0.32740381360054016
