word,root,affix,side,zipf,comp
individuality,individual,ity,suffix,3.2,0.39688125252723694
unnamed,named,un,prefix,3.57,0.39717602729797363
outburst,burst,out,prefix,3.15,0.3974178433418274
unincorporated,incorporated,un,prefix,2.98,0.3978956937789917
indebtedness,indebted,ness,suffix,2.76,0.39801037311553955
untimely,timely,un,prefix,3.12,0.39806199073791504
cannibalism,cannibal,ism,suffix,3.01,0.3982110023498535
discharging,charging,dis,prefix,2.97,0.398262619972229
unplanned,planned,un,prefix,3.14,0.39833590388298035
interviewers,viewers,inter,prefix,2.87,0.39834609627723694
argumentation,argument,ation,suffix,2.65,0.39838531613349915
reimagined,imagined,re,prefix,2.64,0.3984036147594452
advancement,advance,ment,suffix,3.81,0.3984105885028839
reachable,reach,able,suffix,2.71,0.39888155460357666
scandalous,scandal,ous,suffix,3.28,0.39890092611312866
retaken,taken,re,prefix,2.56,0.39890727400779724
disarmed,armed,dis,prefix,2.98,0.39890772104263306
unprovoked,provoked,un,prefix,2.83,0.399000346660614
disguise,guise,dis,prefix,3.72,0.3990737795829773
underrated,rated,under,prefix,3.61,0.3994375765323639
forearms,arms,fore,prefix,2.79,0.3997223973274231
redevelop,develop,re,prefix,2.57,0.3997938632965088
goalless,goal,less,suffix,2.72,0.3997972309589386
supercars,cars,super,prefix,2.78,0.4000292420387268
kindness,kind,ness,suffix,4.0,0.4001222848892212
disassembly,assembly,dis,prefix,2.52,0.40018507838249207
equalize,equal,ize,suffix,2.57,0.4005383253097534
transformed,formed,trans,prefix,4.08,0.4007527232170105
homeownership,homeowner,ship,suffix,2.7,0.4011509120464325
outgrown,grown,out,prefix,2.82,0.4012148082256317
predetermined,determined,pre,prefix,3.3,0.4015549123287201
outsourcing,sourcing,out,prefix,3.36,0.40176504850387573
reassignment,assignment,re,prefix,2.89,0.40178242325782776
overflow,flow,over,prefix,3.39,0.4020170271396637
employment,employ,ment,suffix,4.56,0.4023735225200653
unholy,holy,un,prefix,3.07,0.40276047587394714
laughable,laugh,able,suffix,3.18,0.40285658836364746
unpretentious,pretentious,un,prefix,2.59,0.4030022919178009
loveless,love,less,suffix,2.73,0.4030061364173889
hardiness,hardy,ness,suffix,2.5,0.40302082896232605
blameless,blame,less,suffix,2.8,0.4031115770339966
strapless,strap,less,suffix,2.72,0.40317901968955994
youthful,youth,ful,suffix,3.58,0.40338587760925293
interfaith,faith,inter,prefix,2.9,0.4033927023410797
manageable,manage,able,suffix,3.38,0.4034801423549652
preconditions,conditions,pre,prefix,2.63,0.40363624691963196
reload,load,re,prefix,3.26,0.40364259481430054
dismissive,dismiss,ive,suffix,3.05,0.4036844074726105
overvalued,valued,over,prefix,2.62,0.403984934091568
unease,ease,un,prefix,2.78,0.4041132628917694
undefeated,defeated,un,prefix,3.62,0.4041217565536499
reschedule,schedule,re,prefix,2.92,0.40413305163383484
uncontrolled,controlled,un,prefix,3.2,0.40419453382492065
forehead,head,fore,prefix,3.87,0.40485891699790955
unpopular,popular,un,prefix,3.72,0.40492522716522217
unmasked,masked,un,prefix,2.79,0.40494027733802795
urbanism,urban,ism,suffix,2.59,0.4054422378540039
worthiness,worthy,ness,suffix,2.64,0.4054730236530304
overhanging,hanging,over,prefix,2.64,0.4059925079345703
discomfort,comfort,dis,prefix,3.65,0.40600600838661194
uncaring,caring,un,prefix,2.58,0.40609079599380493
outfield,field,out,prefix,3.11,0.40632951259613037
annexation,annex,ation,suffix,3.42,0.40641719102859497
unchanged,changed,un,prefix,3.74,0.4066832363605499
overdone,done,over,prefix,2.82,0.40734726190567017
wasteful,waste,ful,suffix,3.27,0.407583624124527
unpunished,punished,un,prefix,2.85,0.4075947105884552
subjective,subject,ive,suffix,3.79,0.4077381193637848
soulless,soul,less,suffix,2.88,0.4085415005683899
remoteness,remote,ness,suffix,2.57,0.40862956643104553
finalist,final,ist,suffix,3.45,0.40864548087120056
traitorous,traitor,ous,suffix,2.67,0.408686101436615
predates,dates,pre,prefix,2.87,0.40915611386299133
returned,turned,re,prefix,4.82,0.4091951251029968
prosperous,prosper,ous,suffix,3.6,0.4092135727405548
discontinue,continue,dis,prefix,3.11,0.40941372513771057
commitment,commit,ment,suffix,4.43,0.40948641300201416
undertones,tones,under,prefix,2.81,0.40997540950775146
unused,used,un,prefix,3.64,0.4102293848991394
prepayment,payment,pre,prefix,2.55,0.4104146361351013
overpopulation,population,over,prefix,2.71,0.4104738235473633
holiness,holy,ness,suffix,3.46,0.4105502963066101
uncool,cool,un,prefix,2.79,0.41056472063064575
unsanitary,sanitary,un,prefix,2.7,0.4108704626560211
interrelated,related,inter,prefix,2.7,0.41102394461631775
restarted,started,re,prefix,3.1,0.41120022535324097
overestimate,estimate,over,prefix,2.83,0.41169482469558716
foreshore,shore,fore,prefix,2.61,0.41179999709129333
socialism,social,ism,suffix,3.88,0.4121008515357971
rediscovery,discovery,re,prefix,2.51,0.4121408760547638
rename,name,re,prefix,3.18,0.4124452769756317
retake,take,re,prefix,3.28,0.4124767482280731
uninhibited,inhibited,un,prefix,2.59,0.4125770628452301
mournful,mourn,ful,suffix,2.73,0.4129832088947296
recreates,creates,re,prefix,2.63,0.4131254255771637
coldness,cold,ness,suffix,2.64,0.4138337969779968
international,national,inter,prefix,5.36,0.41443872451782227
rerouted,routed,re,prefix,2.55,0.4145146906375885
patronize,patron,ize,suffix,2.72,0.41498616337776184
nakedness,naked,ness,suffix,2.56,0.4150243103504181
faithful,faith,ful,suffix,4.1,0.41514328122138977
preexisting,existing,pre,prefix,2.91,0.41515955328941345
readership,reader,ship,suffix,3.12,0.41520944237709045
idealist,ideal,ist,suffix,2.83,0.415968120098114
reintroduction,introduction,re,prefix,2.71,0.41606929898262024
reconstituted,constituted,re,prefix,2.82,0.41624775528907776
disregards,regards,dis,prefix,2.55,0.41637516021728516
uninstall,install,un,prefix,2.95,0.4166003465652466
oversize,size,over,prefix,2.68,0.4167550802230835
rebrand,brand,re,prefix,2.89,0.41692155599594116
stiffness,stiff,ness,suffix,3.2,0.4169718623161316
knowledgeable,knowledge,able,suffix,3.53,0.41699063777923584
unaffiliated,affiliated,un,prefix,2.76,0.41732507944107056
reprints,prints,re,prefix,3.03,0.41734111309051514
unhappiness,happiness,un,prefix,3.15,0.41827648878097534
refuel,fuel,re,prefix,2.84,0.4183596074581146
rewrote,wrote,re,prefix,2.75,0.41837623715400696
reinvention,invention,re,prefix,2.64,0.41861796379089355
unmotivated,motivated,un,prefix,2.53,0.4188161790370941
retook,took,re,prefix,2.51,0.4188232421875
uncontested,contested,un,prefix,2.84,0.41921016573905945
arrangement,arrange,ment,suffix,4.25,0.4193151593208313
normality,normal,ity,suffix,2.93,0.419521301984787
relocate,locate,re,prefix,3.44,0.4195390045642853
assertive,assert,ive,suffix,3.19,0.4198663532733917
underfunded,funded,under,prefix,2.74,0.4199541211128235
reflexive,reflex,ive,suffix,2.84,0.4199885427951813
undiscovered,discovered,un,prefix,3.0,0.42014506459236145
shameless,shame,less,suffix,3.39,0.42044076323509216
addictive,addict,ive,suffix,3.61,0.42069193720817566
interpersonal,personal,inter,prefix,3.37,0.4206995666027069
antithesis,thesis,anti,prefix,2.96,0.4207010567188263
unsweetened,sweetened,un,prefix,2.53,0.4207974076271057
marxist,marx,ist,suffix,3.6,0.42081499099731445
criminalize,criminal,ize,suffix,2.58,0.4208585321903229
tenderness,tender,ness,suffix,3.24,0.4210129976272583
overhear,hear,over,prefix,2.65,0.4210658371448517
ungodly,godly,un,prefix,2.91,0.4212605357170105
tasteless,taste,less,suffix,3.03,0.42133060097694397
predictive,predict,ive,suffix,3.37,0.42167928814888
scoreless,score,less,suffix,3.12,0.42181697487831116
underestimates,estimates,under,prefix,2.53,0.4218980073928833
colourless,colour,less,suffix,2.51,0.4219461977481842
physicality,physical,ity,suffix,2.83,0.42243286967277527
undressing,dressing,un,prefix,2.62,0.4234330952167511
shipment,ship,ment,suffix,3.76,0.423458069562912
disallow,allow,dis,prefix,2.57,0.4235250651836395
abolitionist,abolition,ist,suffix,2.74,0.4238033890724182
worthless,worth,less,suffix,3.82,0.4238927364349365
redirects,directs,re,prefix,2.65,0.4242171347141266
unbelief,belief,un,prefix,2.53,0.42427051067352295
preventable,prevent,able,suffix,3.15,0.42449676990509033
shirtless,shirt,less,suffix,3.11,0.4245717227458954
undertaking,taking,under,prefix,3.72,0.424715518951416
involvement,involve,ment,suffix,4.3,0.4251995384693146
reality,real,ity,suffix,4.89,0.425276517868042
cavernous,cavern,ous,suffix,2.75,0.42542752623558044
proportionality,proportional,ity,suffix,2.65,0.42714056372642517
voiceless,voice,less,suffix,2.76,0.4273321330547333
instrumentalist,instrumental,ist,suffix,2.55,0.4273945093154907
colorless,color,less,suffix,3.02,0.4275576174259186
wonderful,wonder,ful,suffix,4.85,0.42778435349464417
undressed,dressed,un,prefix,2.96,0.4280703663825989
unremarkable,remarkable,un,prefix,2.83,0.42809000611305237
overruled,ruled,over,prefix,3.12,0.4281492829322815
reproduces,produces,re,prefix,2.71,0.4285481572151184
completeness,complete,ness,suffix,3.13,0.4286620616912842
redeemable,redeem,able,suffix,2.77,0.4290849566459656
unwrapped,wrapped,un,prefix,2.55,0.4293636977672577
underdeveloped,developed,under,prefix,2.99,0.4300019145011902
redesignated,designated,re,prefix,2.81,0.43005266785621643
uncredited,credited,un,prefix,2.54,0.4300651550292969
foreheads,heads,fore,prefix,2.66,0.43091440200805664
craftsmanship,craftsman,ship,suffix,3.1,0.4310283064842224
journalist,journal,ist,suffix,4.38,0.43108537793159485
replenishment,replenish,ment,suffix,2.74,0.43122416734695435
reunites,unites,re,prefix,2.64,0.4314408004283905
parenthood,parent,hood,suffix,3.51,0.4314808249473572
rebalance,balance,re,prefix,2.63,0.43202123045921326
lordship,lord,ship,suffix,3.29,0.4320358633995056
renegotiation,negotiation,re,prefix,2.63,0.43208205699920654
relocating,locating,re,prefix,3.2,0.4328679144382477
blindness,blind,ness,suffix,3.44,0.4329874515533447
realize,real,ize,suffix,4.83,0.4331943392753601
rethink,think,re,prefix,3.47,0.43326011300086975
nontraditional,traditional,non,prefix,2.6,0.43333128094673157
comfortable,comfort,able,suffix,4.66,0.4333552420139313
variable,vary,able,suffix,4.12,0.43385785818099976
adjustable,adjust,able,suffix,3.6,0.4339774549007416
approachable,approach,able,suffix,2.91,0.43411576747894287
unknown,known,un,prefix,4.53,0.4342590272426605
refinancing,financing,re,prefix,2.91,0.4343794286251068
confrontation,confront,ation,suffix,3.72,0.4345018267631531
visualize,visual,ize,suffix,3.27,0.4348989725112915
unsalted,salted,un,prefix,2.52,0.4350830316543579
disconnect,connect,dis,prefix,3.46,0.435151606798172
perfectionism,perfection,ism,suffix,2.56,0.43522584438323975
hopeless,hope,less,suffix,3.71,0.43543335795402527
misstep,step,mis,prefix,2.6,0.4356580972671509
untrue,true,un,prefix,3.41,0.4356672167778015
unselfish,selfish,un,prefix,2.72,0.43569299578666687
predefined,defined,pre,prefix,2.65,0.4361479878425598
removable,movable,re,prefix,3.29,0.43644827604293823
undertook,took,under,prefix,3.44,0.4364604949951172
interracial,racial,inter,prefix,3.37,0.43662673234939575
honourable,honour,able,suffix,3.67,0.43675556778907776
resentment,resent,ment,suffix,3.61,0.437252938747406
rearrange,arrange,re,prefix,3.01,0.4373604655265808
distinguishable,distinguish,able,suffix,2.87,0.43771710991859436
disloyal,loyal,dis,prefix,2.84,0.4377320408821106
disagreement,agreement,dis,prefix,3.66,0.43774914741516113
outperform,perform,out,prefix,3.01,0.43778520822525024
mistake,take,mis,prefix,4.67,0.4378567337989807
lobbyist,lobby,ist,suffix,3.1,0.43858715891838074
unnoticed,noticed,un,prefix,3.42,0.43870100378990173
lyricist,lyric,ist,suffix,2.84,0.43872180581092834
superstructure,structure,super,prefix,2.89,0.4389905333518982
discontinuity,continuity,dis,prefix,2.5,0.43908146023750305
transform,form,trans,prefix,4.04,0.43925315141677856
resettled,settled,re,prefix,2.69,0.43928495049476624
reformed,formed,re,prefix,3.61,0.4396575689315796
supercomputer,computer,super,prefix,2.76,0.4400894045829773
greatness,great,ness,suffix,3.71,0.44013240933418274
refilled,filled,re,prefix,2.66,0.4402139186859131
reappearance,appearance,re,prefix,2.62,0.44025182723999023
meaningless,meaning,less,suffix,3.7,0.44032520055770874
resale,sale,re,prefix,3.28,0.44040319323539734
preventive,prevent,ive,suffix,3.5,0.44050827622413635
unsurprisingly,surprisingly,un,prefix,3.01,0.4406174123287201
multiplayer,player,multi,prefix,3.64,0.4412422478199005
unpleasantness,unpleasant,ness,suffix,2.52,0.4415394961833954
underutilized,utilized,under,prefix,2.52,0.44163864850997925
dishonor,honor,dis,prefix,2.88,0.4416711628437042
legalize,legal,ize,suffix,3.26,0.4417113661766052
overdoing,doing,over,prefix,2.57,0.4419305622577667
fragmentation,fragment,ation,suffix,3.23,0.4421882629394531
pitiful,pity,ful,suffix,3.24,0.4425591230392456
rematch,match,re,prefix,3.44,0.4426025152206421
thoughtful,thought,ful,suffix,3.83,0.4428691267967224
mismanagement,management,mis,prefix,3.09,0.4431893825531006
underprivileged,privileged,under,prefix,2.92,0.44345542788505554
transforms,forms,trans,prefix,3.45,0.4442327618598938
reactivation,activation,re,prefix,2.51,0.4447445869445801
preschoolers,schoolers,pre,prefix,2.67,0.44496870040893555
presentation,present,ation,suffix,4.31,0.4453325867652893
relationship,relation,ship,suffix,5.15,0.44646891951560974
refundable,refund,able,suffix,2.75,0.44656479358673096
unaltered,altered,un,prefix,2.79,0.4465954899787903
fellowship,fellow,ship,suffix,3.86,0.44692471623420715
restructured,structured,re,prefix,2.98,0.4469601511955261
reselling,selling,re,prefix,2.56,0.44697192311286926
outrageous,outrage,ous,suffix,3.77,0.44705724716186523
watchable,watch,able,suffix,2.58,0.4470837116241455
uniformity,uniform,ity,suffix,3.03,0.44712695479393005
awareness,aware,ness,suffix,4.44,0.44720542430877686
emptiness,empty,ness,suffix,3.27,0.44775837659835815
underappreciated,appreciated,under,prefix,2.65,0.44789883494377136
reactivate,activate,re,prefix,2.63,0.44801265001296997
unimportant,important,un,prefix,3.23,0.44806617498397827
undercooked,cooked,under,prefix,2.58,0.44809824228286743
reclassified,classified,re,prefix,2.6,0.44851917028427124
reasonableness,reasonable,ness,suffix,2.53,0.4486401677131653
reconstruction,construction,re,prefix,3.96,0.4487423300743103
undertone,tone,under,prefix,2.62,0.44891926646232605
dismounted,mounted,dis,prefix,2.6,0.44910958409309387
quickness,quick,ness,suffix,2.83,0.4494013488292694
disengage,engage,dis,prefix,2.9,0.4495255649089813
misdeeds,deeds,mis,prefix,2.8,0.4496419131755829
overload,load,over,prefix,3.5,0.4497998356819153
isolationism,isolation,ism,suffix,2.54,0.45011118054389954
disintegration,integration,dis,prefix,3.02,0.4501987099647522
disregard,regard,dis,prefix,3.66,0.45038071274757385
overdose,dose,over,prefix,3.57,0.4509761929512024
treasonous,treason,ous,suffix,2.68,0.45101198554039
overlords,lords,over,prefix,2.7,0.45120784640312195
unnatural,natural,un,prefix,3.48,0.4520726799964905
reshuffle,shuffle,re,prefix,2.81,0.45211175084114075
unconscious,conscious,un,prefix,3.94,0.4522522985935211
loveliness,lovely,ness,suffix,2.54,0.45289748907089233
rearranged,arranged,re,prefix,2.94,0.4529363214969635
normalize,normal,ize,suffix,3.0,0.45323315262794495
assassination,assassin,ation,suffix,3.82,0.4534086585044861
blissful,bliss,ful,suffix,3.0,0.45394670963287354
outrage,rage,out,prefix,3.84,0.4540000557899475
rebalancing,balancing,re,prefix,2.53,0.45417600870132446
recreated,created,re,prefix,3.15,0.4544045031070709
unwrap,wrap,un,prefix,2.56,0.45447254180908203
unplug,plug,un,prefix,2.95,0.4544934630393982
overloaded,loaded,over,prefix,3.13,0.45460477471351624
discoloration,coloration,dis,prefix,2.81,0.45472845435142517
rediscover,discover,re,prefix,2.8,0.454921156167984
reproduce,produce,re,prefix,3.63,0.45527616143226624
unmatched,matched,un,prefix,3.13,0.45629140734672546
multichannel,channel,multi,prefix,2.6,0.45727670192718506
stalinist,stalin,ist,suffix,2.76,0.45739760994911194
unarmed,armed,un,prefix,3.72,0.45768874883651733
heterosexuality,heterosexual,ity,suffix,2.52,0.45808145403862
reimagining,imagining,re,prefix,2.57,0.45820745825767517
assignment,assign,ment,suffix,4.18,0.45826438069343567
reshaped,shaped,re,prefix,2.63,0.458343505859375
reissued,issued,re,prefix,2.8,0.458586722612381
transforming,forming,trans,prefix,3.65,0.4590325355529785
drinkable,drink,able,suffix,2.59,0.4591231048107147
validation,valid,ation,suffix,3.68,0.45917388796806335
restart,start,re,prefix,3.68,0.459775447845459
multipurpose,purpose,multi,prefix,2.95,0.4597891569137573
outscored,scored,out,prefix,2.89,0.4599936604499817
unrealized,realized,un,prefix,2.63,0.4601022005081177
disembark,embark,dis,prefix,2.68,0.46020373702049255
reintegration,integration,re,prefix,2.63,0.46030330657958984
misinformation,information,mis,prefix,3.27,0.46044623851776123
refilling,filling,re,prefix,2.53,0.46054303646087646
unsure,sure,un,prefix,3.75,0.46069616079330444
unseen,seen,un,prefix,3.61,0.46078190207481384
measurement,measure,ment,suffix,4.05,0.4608038365840912
unsecured,secured,un,prefix,3.15,0.4611318111419678
goodness,good,ness,suffix,4.13,0.4612763524055481
rationalism,rational,ism,suffix,2.6,0.4614872336387634
redesigned,designed,re,prefix,3.3,0.461936891078949
transformative,formative,trans,prefix,3.14,0.4619632661342621
disappears,appears,dis,prefix,3.67,0.462181031703949
undertaken,taken,under,prefix,3.85,0.462573766708374
reinvented,invented,re,prefix,2.77,0.46267497539520264
coloration,color,ation,suffix,3.01,0.46272432804107666
synonymous,synonym,ous,suffix,3.5,0.46332278847694397
misused,used,mis,prefix,3.05,0.46340465545654297
unambiguous,ambiguous,un,prefix,2.89,0.4634401798248291
recounting,counting,re,prefix,2.97,0.46347686648368835
digestible,digest,ible,suffix,2.68,0.46378737688064575
variation,vary,ation,suffix,4.08,0.4638112187385559
unsold,sold,un,prefix,2.88,0.46444204449653625
unimaginative,imaginative,un,prefix,2.54,0.46517205238342285
alteration,alter,ation,suffix,3.33,0.46537432074546814
disagreed,agreed,dis,prefix,3.49,0.4655818045139313
unconcerned,concerned,un,prefix,2.74,0.46566149592399597
supermodels,models,super,prefix,2.55,0.46578356623649597
relaunch,launch,re,prefix,2.91,0.4661926329135895
rewriting,writing,re,prefix,3.14,0.46635040640830994
emotionless,emotion,less,suffix,2.72,0.4664202630519867
reopen,open,re,prefix,3.42,0.46651169657707214
landless,land,less,suffix,2.53,0.4668259024620056
familiarity,familiar,ity,suffix,3.4,0.46701309084892273
unlimited,limited,un,prefix,4.1,0.4670173227787018
miscommunication,communication,mis,prefix,2.7,0.467080682516098
vastness,vast,ness,suffix,2.66,0.46728864312171936
reassuring,assuring,re,prefix,3.4,0.4673076272010803
remarriage,marriage,re,prefix,2.5,0.46741747856140137
advantageous,advantage,ous,suffix,3.33,0.4676894247531891
rethinking,thinking,re,prefix,3.12,0.46797293424606323
finalize,final,ize,suffix,2.89,0.4682788550853729
reinvested,invested,re,prefix,2.58,0.46860846877098083
reused,used,re,prefix,3.09,0.4687238931655884
unauthorised,authorised,un,prefix,3.01,0.46895140409469604
symbolism,symbol,ism,suffix,3.46,0.4700543284416199
unconsciousness,consciousness,un,prefix,2.69,0.4702339172363281
retraining,training,re,prefix,2.75,0.47023478150367737
disagreeable,disagree,able,suffix,2.73,0.4704553484916687
linearity,linear,ity,suffix,2.55,0.4708598852157593
avoidable,avoid,able,suffix,2.97,0.4709516167640686
freshness,fresh,ness,suffix,3.12,0.47138121724128723
unprotected,protected,un,prefix,3.29,0.4714641273021698
unauthorized,authorized,un,prefix,3.57,0.4716719686985016
victorious,victory,ous,suffix,3.57,0.47171175479888916
melodious,melody,ous,suffix,2.58,0.4717809855937958
efficacious,efficacy,ous,suffix,2.55,0.47191521525382996
unreasonably,reasonably,un,prefix,2.92,0.4723413586616516
outpatient,patient,out,prefix,3.32,0.47250989079475403
intercultural,cultural,inter,prefix,2.87,0.4731043875217438
unaccountable,accountable,un,prefix,2.66,0.4731212854385376
sleepless,sleep,less,suffix,3.18,0.4732988178730011
unwise,wise,un,prefix,3.09,0.47339504957199097
outbursts,bursts,out,prefix,3.0,0.4734232425689697
brightness,bright,ness,suffix,3.57,0.4734666049480438
reshape,shape,re,prefix,2.87,0.4739210605621338
disloyalty,loyalty,dis,prefix,2.62,0.4739326536655426
unlocking,locking,un,prefix,3.27,0.4739888310432434
fallacious,fallacy,ous,suffix,2.64,0.47408583760261536
miscalculation,calculation,mis,prefix,2.61,0.4743606746196747
inhumanity,inhuman,ity,suffix,2.56,0.4744013845920563
complexity,complex,ity,suffix,4.02,0.47446420788764954
utilitarianism,utilitarian,ism,suffix,2.51,0.47447100281715393
underestimating,estimating,under,prefix,2.87,0.47450709342956543
suggestive,suggest,ive,suffix,3.21,0.4745660126209259
understaffed,staffed,under,prefix,2.59,0.4746205806732178
adaptation,adapt,ation,suffix,4.01,0.4750555455684662
unanticipated,anticipated,un,prefix,2.72,0.4755106270313263
reactive,react,ive,suffix,3.54,0.47570329904556274
unedited,edited,un,prefix,2.77,0.47631409764289856
disembarked,embarked,dis,prefix,2.56,0.47631433606147766
disapproves,approves,dis,prefix,2.63,0.47636720538139343
outshine,shine,out,prefix,2.51,0.4763714373111725
rewrite,write,re,prefix,3.47,0.4763934314250946
darwinism,darwin,ism,suffix,2.73,0.47678008675575256
standardize,standard,ize,suffix,2.72,0.4769096374511719
municipality,municipal,ity,suffix,3.71,0.4771801233291626
orchestration,orchestra,tion,suffix,2.74,0.4773590862751007
uninteresting,interesting,un,prefix,2.87,0.4781326651573181
acknowledgement,acknowledge,ment,suffix,3.32,0.4783092439174652
surrealist,surreal,ist,suffix,2.75,0.4783295691013336
outweigh,weigh,out,prefix,3.27,0.4784681797027588
similarity,similar,ity,suffix,3.58,0.4790729582309723
unscheduled,scheduled,un,prefix,2.76,0.47917282581329346
defective,defect,ive,suffix,3.57,0.4792545437812805
criminality,criminal,ity,suffix,2.99,0.47991326451301575
colorful,color,ful,suffix,3.8,0.4799754023551941
intergalactic,galactic,inter,prefix,2.86,0.48027631640434265
overheated,heated,over,prefix,2.89,0.4806021749973297
unreadable,readable,un,prefix,2.62,0.48073118925094604
unlisted,listed,un,prefix,2.74,0.48096248507499695
islamist,islam,ist,suffix,3.39,0.4809691309928894
spoonful,spoon,ful,suffix,2.87,0.4810188412666321
professionalism,professional,ism,suffix,3.4,0.4810646176338196
township,town,ship,suffix,3.98,0.4812546968460083
numbness,numb,ness,suffix,2.89,0.48144271969795227
counterintuitive,intuitive,counter,prefix,2.69,0.4815642237663269
falsehood,false,hood,suffix,2.92,0.4815959632396698
wickedness,wicked,ness,suffix,2.93,0.48173946142196655
modernize,modern,ize,suffix,3.03,0.4819604754447937
unethical,ethical,un,prefix,3.31,0.4820937216281891
doubtless,doubt,less,suffix,3.09,0.4822872579097748
tsarist,tsar,ist,suffix,2.51,0.4824785590171814
uncertainty,certainty,un,prefix,4.03,0.4826522469520569
underpaid,paid,under,prefix,2.85,0.482661634683609
untamed,tamed,un,prefix,2.75,0.4827848970890045
uninformed,informed,un,prefix,2.99,0.4831607937812805
relocated,located,re,prefix,3.42,0.48323485255241394
inventive,invent,ive,suffix,3.26,0.4834052622318268
unexploded,exploded,un,prefix,2.52,0.48341357707977295
supermarkets,markets,super,prefix,3.42,0.4835784435272217
reappeared,appeared,re,prefix,2.92,0.48364195227622986
colourful,colour,ful,suffix,3.55,0.48368319869041443
procurement,procure,ment,suffix,3.68,0.4838268458843231
furious,fury,ous,suffix,3.98,0.48382797837257385
restocking,stocking,re,prefix,2.6,0.4838320016860962
strangeness,strange,ness,suffix,2.67,0.48447325825691223
undergarments,garments,under,prefix,2.57,0.4845166802406311
sensationalism,sensational,ism,suffix,2.52,0.48498058319091797
interdependence,dependence,inter,prefix,2.69,0.48501676321029663
undergrad,grad,under,prefix,2.85,0.4850219190120697
disconnecting,connecting,dis,prefix,2.67,0.4850563108921051
irregularity,irregular,ity,suffix,2.57,0.48519012331962585
encouragement,encourage,ment,suffix,3.79,0.48519274592399597
embarrassment,embarrass,ment,suffix,3.77,0.4855896830558777
underpants,pants,under,prefix,2.92,0.48566558957099915
boastful,boast,ful,suffix,2.5,0.48568016290664673
unrestrained,restrained,un,prefix,2.7,0.4857083261013031
sickness,sick,ness,suffix,3.83,0.48573923110961914
rereading,reading,re,prefix,2.67,0.48635637760162354
fanciful,fancy,ful,suffix,2.97,0.4868415892124176
flexible,flex,ible,suffix,4.13,0.48700863122940063
reassessment,assessment,re,prefix,2.61,0.4873117506504059
sustainable,sustain,able,suffix,4.19,0.487376868724823
unbiased,biased,un,prefix,3.33,0.4878571033477783
reopening,opening,re,prefix,3.24,0.48817503452301025
harassment,harass,ment,suffix,4.01,0.48830047249794006
flirtation,flirt,ation,suffix,2.74,0.48831644654273987
agreeable,agree,able,suffix,3.19,0.488779753446579
sleeveless,sleeve,less,suffix,2.89,0.48944664001464844
socialist,social,ist,suffix,4.22,0.48953747749328613
disproved,proved,dis,prefix,2.72,0.4899551570415497
viewership,viewer,ship,suffix,3.13,0.48998114466667175
rigorous,rigor,ous,suffix,3.68,0.4905354678630829
unafraid,afraid,un,prefix,2.71,0.4906197786331177
predominate,dominate,pre,prefix,2.59,0.49082913994789124
formality,formal,ity,suffix,3.15,0.4912220239639282
prehistory,history,pre,prefix,2.75,0.49145764112472534
mindless,mind,less,suffix,3.22,0.4914669990539551
robustness,robust,ness,suffix,2.83,0.4915860593318939
unemployed,employed,un,prefix,3.9,0.4926222860813141
limitation,limit,ation,suffix,3.71,0.4932461380958557
enlistment,enlist,ment,suffix,2.94,0.49375656247138977
disappear,appear,dis,prefix,4.09,0.49412018060684204
unclear,clear,un,prefix,3.93,0.49416884779930115
overpaid,paid,over,prefix,2.9,0.4944502115249634
uninterested,interested,un,prefix,3.02,0.49479666352272034
unconsciousness,unconscious,ness,suffix,2.69,0.49495890736579895
formulation,formula,tion,suffix,3.48,0.49503612518310547
recreating,creating,re,prefix,3.01,0.4951464533805847
oversized,sized,over,prefix,3.4,0.49526098370552063
disruptive,disrupt,ive,suffix,3.46,0.4953097999095917
commendable,commend,able,suffix,3.07,0.495387464761734
mistrial,trial,mis,prefix,2.64,0.49550434947013855
reasonable,reason,able,suffix,4.59,0.49569839239120483
lustful,lust,ful,suffix,2.66,0.4957630932331085
unfortunately,fortunately,un,prefix,4.62,0.49579229950904846
unbounded,bounded,un,prefix,2.54,0.4958129823207855
legality,legal,ity,suffix,3.37,0.4958319664001465
rebuilding,building,re,prefix,3.71,0.49586138129234314
disassembled,assembled,dis,prefix,2.68,0.49591532349586487
reinstall,install,re,prefix,2.76,0.49628177285194397
perfectionist,perfection,ist,suffix,2.89,0.4963020980358124
cheerful,cheer,ful,suffix,3.6,0.4964624047279358
superstars,stars,super,prefix,3.3,0.4967619478702545
deafness,deaf,ness,suffix,2.9,0.49697282910346985
untangle,tangle,un,prefix,2.54,0.49710747599601746
tactful,tact,ful,suffix,2.59,0.4974413514137268
mistreatment,treatment,mis,prefix,2.98,0.4974869191646576
predisposition,disposition,pre,prefix,2.82,0.49772560596466064
keyboardist,keyboard,ist,suffix,2.52,0.4977339804172516
unavailability,availability,un,prefix,2.54,0.498195618391037
reliable,rely,able,suffix,4.29,0.49826765060424805
supplementation,supplement,ation,suffix,2.95,0.49836188554763794
unsolved,solved,un,prefix,3.28,0.4983721673488617
outweighed,weighed,out,prefix,2.9,0.49839112162590027
unlocked,locked,un,prefix,3.76,0.49851447343826294
powerful,power,ful,suffix,4.85,0.4985252022743225
overfishing,fishing,over,prefix,2.55,0.4989950358867645
premarital,marital,pre,prefix,2.74,0.49902623891830444
